age,education_level,university_tier,cgpa,internships,projects,programming_languages,certifications,experience_years,hackathons,research_papers,skills_score,hired,soft_skills_score,resume_length_words,company_type
32,Masters,Tier 3,7.25,3,3,3,2,1.21,0,0,15.0,1,9.76,556,Startup
25,Masters,Tier 3,9.08,0,0,5,0,0.49,0,1,10.0,1,6.63,511,MNC
28,Masters,Tier 2,7.29,1,4,5,1,0.07,0,0,19.5,0,5.9,281,MNC
28,Bachelors,Tier 3,7.54,1,3,2,2,0.06,0,0,13.0,1,9.61,385,Startup
27,Bachelors,Tier 2,7.64,4,3,2,2,4.99,2,0,15.0,1,3.9,500,MNC
26,Bachelors,Tier 2,8.26,4,3,3,2,6.03,0,1,15.0,1,4.21,214,Startup
30,Bachelors,Tier 1,6.91,0,2,5,1,2.52,0,0,15.5,0,3.75,427,Startup
25,Bachelors,Tier 2,8.22,1,2,2,0,1.25,1,1,9.0,1,4.96,302,MNC
21,PhD,Tier 2,7.48,2,2,1,1,0.53,1,2,8.5,0,4.11,490,MNC
22,Bachelors,Tier 1,6.83,4,3,3,3,1.24,1,0,17.5,0,3.55,473,Startup
28,Masters,Tier 2,7.64,2,4,1,1,1.66,0,1,11.5,1,6.18,311,Mid-size
27,Masters,Tier 1,7.41,0,0,4,1,1.36,0,1,9.5,0,6.4,467,Startup
28,Masters,Tier 2,8.47,1,1,4,2,0.07,2,0,15.0,1,3.02,477,MNC
27,Bachelors,Tier 2,6.3,1,3,5,2,0.79,0,0,19.0,1,3.57,346,Startup
22,Bachelors,Tier 1,7.05,1,5,1,1,1.82,0,2,13.5,1,4.82,306,Mid-size
34,Masters,Tier 1,7.42,2,3,1,0,0.34,1,0,9.0,1,8.98,537,MNC
26,Masters,Tier 1,6.89,4,4,1,0,1.2,0,0,10.0,1,9.7,395,Mid-size
28,Masters,Tier 1,8.36,2,5,5,1,1.83,0,0,21.5,1,7.51,402,Mid-size
25,Bachelors,Tier 2,6.58,2,9,4,2,1.29,1,0,30.0,1,3.31,416,Startup
26,Bachelors,Tier 2,10.51,1,2,3,3,0.75,1,0,15.5,1,7.97,357,Startup
34,PhD,Tier 1,7.45,1,3,5,0,1.39,1,0,17.0,1,6.61,491,Startup
22,Bachelors,Tier 1,6.89,1,5,4,1,0.36,1,0,20.5,0,7.27,674,Startup
26,Bachelors,Tier 2,8.35,2,5,3,1,0.82,1,1,18.5,0,4.97,601,MNC
28,Bachelors,Tier 2,8.44,2,4,1,3,7.25,1,0,15.5,1,8.79,303,Mid-size
24,Masters,Tier 1,6.0,0,3,3,0,2.04,0,0,12.0,1,5.67,458,MNC
33,Masters,Tier 2,5.65,5,7,2,0,0.17,1,0,19.0,1,4.88,372,MNC
22,Masters,Tier 3,7.48,3,4,3,3,0.6,1,0,19.5,1,9.29,651,MNC
25,Masters,Tier 2,7.36,2,0,3,0,1.26,0,0,6.0,1,5.8,337,Mid-size
32,Bachelors,Tier 3,7.47,3,1,1,1,2.32,0,0,5.5,1,5.42,503,Mid-size
33,Bachelors,Tier 2,6.91,2,4,1,1,3.26,2,0,13.5,1,3.05,355,MNC
27,Masters,Tier 2,6.6,1,4,5,1,1.5,2,0,21.5,0,7.45,494,MNC
32,PhD,Tier 2,6.55,2,3,1,0,0.77,0,0,8.0,1,3.27,240,Startup
34,Masters,Tier 1,7.88,2,3,2,2,4.03,1,0,14.0,1,3.61,404,MNC
30,Bachelors,Tier 2,6.63,0,3,5,1,0.08,0,0,17.5,0,9.51,704,Startup
30,Masters,Tier 2,6.45,0,4,4,2,0.21,1,0,20.0,0,4.86,509,Mid-size
29,Bachelors,Tier 2,6.82,1,2,3,1,0.05,1,1,12.5,0,7.47,597,MNC
21,Masters,Tier 2,8.4,1,1,5,1,1.48,0,0,13.5,1,8.34,544,MNC
31,Bachelors,Tier 3,7.46,2,2,5,1,1.73,1,0,16.5,1,6.95,472,Startup
