age,education_level,university_tier,cgpa,internships,projects,programming_languages,certifications,experience_years,hackathons,research_papers,skills_score,hired,soft_skills_score,resume_length_words,company_type
22,PhD,Tier 2,5.94,0,2,1,0,4.48,1,1,7.0,1,3.98,505,MNC
31,Bachelors,Tier 2,6.82,0,2,5,1,0.45,0,0,15.5,0,9.3,395,MNC
27,Masters,Tier 1,8.33,2,7,5,1,2.39,0,0,25.5,1,5.89,607,Startup
22,Bachelors,Tier 2,7.39,1,2,3,0,4.09,1,0,11.0,1,7.2,602,MNC
24,Masters,Tier 3,6.7,1,3,4,0,3.27,0,0,14.0,1,8.58,500,MNC
24,Bachelors,Tier 2,8.35,5,3,5,0,0.73,1,0,17.0,1,4.74,506,MNC
34,Masters,Tier 1,6.77,0,5,1,1,0.36,0,0,13.5,0,9.04,384,Startup
24,Masters,Tier 2,9.12,1,3,1,0,2.67,1,0,9.0,1,8.02,591,MNC
28,Bachelors,Tier 1,7.89,1,5,5,1,4.37,0,0,21.5,0,7.69,562,Mid-size
27,Bachelors,Tier 2,6.83,2,1,3,0,0.02,1,0,9.0,0,6.15,455,Startup
28,Bachelors,Tier 2,7.44,1,5,2,1,2.0,1,0,16.5,0,3.92,460,Mid-size
29,Masters,Tier 3,7.6,1,0,3,0,0.45,0,0,6.0,0,7.31,532,Startup
29,Bachelors,Tier 2,6.91,3,2,3,2,4.74,1,1,14.0,1,6.81,359,Mid-size
22,Bachelors,Tier 2,7.93,3,1,1,0,0.03,0,2,4.0,0,6.9,310,MNC
24,Bachelors,Tier 3,7.02,1,4,2,2,0.24,1,0,16.0,1,9.32,412,MNC
21,Masters,Tier 3,7.23,1,3,5,2,0.9,0,0,19.0,1,3.38,355,Startup
34,Bachelors,Tier 3,8.59,1,1,4,3,0.26,2,0,16.5,1,4.32,621,Mid-size
21,Bachelors,Tier 1,8.44,0,1,5,0,2.24,0,0,12.0,1,6.88,649,MNC
25,Bachelors,Tier 3,6.78,0,4,4,1,1.49,1,0,18.5,1,3.01,377,Startup
33,Bachelors,Tier 1,8.2,1,6,3,0,1.01,1,1,19.0,1,9.53,466,MNC
26,Bachelors,Tier 3,6.65,2,3,3,0,0.72,0,0,12.0,1,5.04,527,Mid-size
34,Bachelors,Tier 3,9.19,1,5,5,0,4.38,1,0,21.0,1,5.4,743,Startup
26,Bachelors,Tier 2,7.84,1,5,5,1,2.59,0,1,21.5,0,5.21,432,MNC
22,Bachelors,Tier 2,7.71,3,3,5,1,0.93,0,0,17.5,1,3.43,331,MNC
29,Bachelors,Tier 2,8.8,3,3,3,0,3.16,1,0,13.0,0,7.39,563,MNC
32,Bachelors,Tier 2,9.01,1,2,4,0,2.11,0,0,12.0,1,5.92,522,Startup
33,Bachelors,Tier 2,6.91,1,4,3,0,2.59,0,0,14.0,1,8.33,297,MNC
30,Masters,Tier 3,5.4,1,0,1,1,2.33,0,0,3.5,1,7.97,469,Startup
32,Bachelors,Tier 2,7.23,3,3,5,0,1.1,0,0,16.0,1,5.31,219,Mid-size
34,Bachelors,Tier 3,6.4,1,5,3,0,0.86,0,0,16.0,1,5.13,502,MNC
30,Bachelors,Tier 2,6.51,3,3,2,0,0.2,1,0,11.0,0,8.0,565,Startup
24,Bachelors,Tier 2,6.92,0,3,2,1,2.86,0,0,11.5,0,6.24,554,Mid-size
27,Masters,Tier 1,7.46,1,2,1,2,1.84,1,0,10.0,1,4.15,295,Mid-size
27,PhD,Tier 3,9.12,0,4,3,0,2.57,2,0,16.0,0,5.84,547,Mid-size
28,PhD,Tier 1,6.33,0,3,5,0,0.22,0,0,16.0,1,8.61,395,MNC
21,Bachelors,Tier 2,8.49,4,1,5,1,3.86,1,0,14.5,0,4.97,416,Mid-size
29,Bachelors,Tier 1,8.02,1,5,1,1,3.16,1,0,14.5,1,4.1,292,MNC
30,Masters,Tier 3,7.44,3,3,3,1,1.03,1,0,14.5,1,7.25,448,Startup
21,Bachelors,Tier 2,6.59,2,2,2,1,1.35,0,0,9.5,1,3.86,163,MNC
21,Bachelors,Tier 2,7.55,1,2,5,2,0.68,0,1,17.0,0,9.13,496,MNC
25,Masters,Tier 2,8.29,2,8,1,0,0.98,1,0,19.0,1,6.64,523,Mid-size
29,Bachelors,Tier 2,7.75,3,3,2,1,4.38,0,0,11.5,1,3.16,519,Startup
25,Bachelors,Tier 3,8.23,2,6,5,0,0.22,1,0,23.0,1,7.26,437,Startup
32,Masters,Tier 2,8.25,3,4,4,1,0.4,0,0,17.5,1,5.77,446,MNC
30,Bachelors,Tier 2,8.77,1,3,1,1,0.75,0,1,9.5,0,3.72,418,Mid-size
25,Bachelors,Tier 3,6.7,0,1,5,1,0.2,1,0,14.5,1,5.0,489,Mid-size
23,Masters,Tier 3,7.11,3,4,5,0,0.51,0,0,18.0,1,8.72,344,Mid-size
25,Masters,Tier 3,8.45,0,5,1,1,0.17,1,0,14.5,1,4.39,406,Mid-size
24,Bachelors,Tier 1,8.62,3,7,1,1,0.77,0,0,17.5,1,9.22,479,Mid-size
21,Bachelors,Tier 1,8.62,2,4,1,0,0.25,0,0,10.0,1,8.84,246,Startup
29,Masters,Tier 3,6.71,3,6,5,1,1.26,1,0,24.5,1,4.01,410,Startup
31,Masters,Tier 1,8.81,1,2,3,4,2.49,0,0,16.0,1,9.81,301,MNC
28,Bachelors,Tier 2,7.96,0,2,1,0,0.23,0,0,6.0,1,9.57,351,Startup
34,Masters,Tier 1,7.86,1,3,1,2,0.25,0,0,11.0,0,4.56,771,Mid-size
21,Bachelors,Tier 2,6.21,0,2,3,1,0.04,0,0,11.5,1,5.82,577,Mid-size
31,Bachelors,Tier 1,6.68,2,5,1,0,0.18,1,0,13.0,1,9.5,456,MNC
27,Bachelors,Tier 1,7.89,0,0,3,2,2.56,0,0,9.0,0,4.11,352,MNC
23,Bachelors,Tier 2,8.41,0,4,4,2,0.71,3,0,22.0,0,7.21,211,Mid-size
21,Bachelors,Tier 1,7.0,0,4,3,0,0.73,1,0,15.0,1,3.72,357,Mid-size
28,Bachelors,Tier 3,7.85,0,3,5,2,8.17,0,0,19.0,0,7.29,164,Mid-size
25,Bachelors,Tier 2,6.86,0,9,2,0,2.4,1,0,23.0,1,6.67,649,Startup
32,Masters,Tier 2,7.33,0,0,1,3,0.33,0,0,6.5,1,7.97,405,Startup
33,Masters,Tier 2,7.45,0,3,2,0,0.95,0,0,10.0,1,3.26,402,MNC
22,Bachelors,Tier 2,6.3,1,3,1,2,1.57,0,1,11.0,0,4.94,468,MNC
30,Bachelors,Tier 3,7.64,3,1,3,1,0.77,0,0,9.5,0,6.33,579,Mid-size
34,Bachelors,Tier 1,8.21,0,5,5,0,0.4,1,0,21.0,1,7.7,549,Mid-size
24,Bachelors,Tier 1,7.0,3,3,5,1,0.01,0,0,17.5,0,7.23,271,Startup
24,Bachelors,Tier 3,8.15,1,4,2,1,3.31,1,0,14.5,0,7.4,440,MNC
24,PhD,Tier 3,7.08,2,0,4,0,0.2,0,0,8.0,1,4.09,548,Mid-size
25,Bachelors,Tier 3,8.2,3,6,1,1,3.4,1,0,16.5,1,7.71,613,Mid-size
23,Masters,Tier 2,7.38,0,0,1,0,2.63,0,1,2.0,1,9.34,376,Startup
22,Bachelors,Tier 2,7.6,3,2,2,1,1.62,0,0,9.5,1,5.27,431,Startup
