age,education_level,university_tier,cgpa,internships,projects,programming_languages,certifications,experience_years,hackathons,research_papers,skills_score,hired,soft_skills_score,resume_length_words,company_type
28,Masters,Tier 1,6.19,0,3,2,2,1.7,0,0,13.0,1,3.72,429,Startup
26,Masters,Tier 3,6.94,1,1,4,1,1.92,1,0,12.5,1,9.38,156,Mid-size
26,Bachelors,Tier 1,8.26,7,0,2,0,0.84,1,0,5.0,0,4.04,377,Startup
27,Masters,Tier 3,8.19,0,6,4,2,2.82,0,0,23.0,0,3.09,537,Startup
30,Bachelors,Tier 2,6.65,1,4,4,0,0.46,0,0,16.0,1,5.81,330,MNC
27,Masters,Tier 3,7.72,0,2,1,0,1.32,1,0,7.0,1,5.36,340,Mid-size
25,Bachelors,Tier 3,9.2,3,5,4,0,1.75,1,0,19.0,1,7.32,434,MNC
25,Bachelors,Tier 1,7.11,0,1,3,3,0.96,2,0,14.5,0,3.6,347,Startup
34,Bachelors,Tier 1,6.73,0,1,4,2,2.69,0,0,13.0,1,9.49,401,MNC
34,Masters,Tier 2,5.92,3,2,3,1,0.32,0,0,11.5,1,5.1,264,Startup
31,Bachelors,Tier 2,7.35,0,4,3,0,3.83,3,0,17.0,1,8.66,579,MNC
31,Masters,Tier 3,7.01,1,2,4,3,0.51,0,0,16.5,0,3.51,458,MNC
23,PhD,Tier 3,7.29,2,4,3,0,2.49,0,1,14.0,1,5.09,221,MNC
21,Masters,Tier 1,8.1,3,4,3,1,0.09,0,0,15.5,1,5.44,458,Mid-size
22,Bachelors,Tier 3,7.12,0,4,2,1,1.32,0,0,13.5,1,6.71,397,Startup
24,Bachelors,Tier 1,6.27,3,3,5,2,0.03,0,0,19.0,1,9.07,518,Startup
27,PhD,Tier 2,7.06,1,1,3,1,0.82,0,0,9.5,0,4.57,547,MNC
21,Bachelors,Tier 3,8.58,2,2,5,0,1.97,0,0,14.0,1,7.55,539,MNC
33,Bachelors,Tier 2,7.89,1,3,2,0,1.45,0,1,10.0,1,6.91,444,Mid-size
29,Bachelors,Tier 3,7.82,2,2,1,2,0.07,0,0,9.0,0,5.7,541,MNC
31,Bachelors,Tier 3,5.91,0,2,1,2,0.53,0,1,9.0,1,4.53,536,MNC
34,Bachelors,Tier 1,6.54,1,5,1,3,0.66,0,0,16.5,1,9.96,410,Mid-size
28,Masters,Tier 3,8.4,2,3,2,2,2.45,0,0,13.0,1,4.31,520,MNC
27,Bachelors,Tier 3,7.55,1,1,3,1,0.5,0,0,9.5,0,7.33,146,Startup
30,Bachelors,Tier 1,7.71,2,1,1,2,0.01,0,2,7.0,1,5.68,511,MNC
32,Bachelors,Tier 1,7.92,3,3,2,0,0.2,1,0,11.0,1,5.45,348,MNC
28,Bachelors,Tier 2,6.32,2,2,5,0,1.2,0,0,14.0,1,8.41,502,Startup
22,Bachelors,Tier 2,8.38,0,1,2,0,2.09,0,1,6.0,1,7.51,602,MNC
28,Bachelors,Tier 3,7.08,3,4,2,1,1.29,0,0,13.5,1,3.26,420,MNC
24,Bachelors,Tier 3,6.27,0,3,4,1,0.91,0,0,15.5,0,3.88,478,MNC
29,Masters,Tier 1,7.64,3,3,2,0,0.63,0,0,10.0,1,6.51,410,Mid-size
24,PhD,Tier 3,6.7,3,5,5,0,0.51,1,0,21.0,1,7.9,378,Startup
21,Bachelors,Tier 2,7.45,0,2,1,1,1.14,2,0,9.5,1,9.0,333,MNC
29,PhD,Tier 1,7.85,4,6,1,3,0.59,0,0,18.5,0,4.28,376,Mid-size
30,Bachelors,Tier 3,8.64,4,4,2,1,3.05,1,0,14.5,1,7.75,566,Mid-size
33,Masters,Tier 3,7.27,0,5,5,1,3.79,0,0,21.5,1,9.19,552,Mid-size
33,Masters,Tier 1,6.01,0,0,1,1,1.22,0,0,3.5,1,3.4,569,MNC
24,Masters,Tier 2,8.39,1,0,3,0,0.66,0,0,6.0,0,9.92,272,Startup
26,Bachelors,Tier 3,8.45,0,5,4,0,2.23,0,0,18.0,0,5.82,481,MNC
24,Masters,Tier 3,6.31,0,0,1,1,0.11,0,0,3.5,0,4.36,501,MNC
24,Bachelors,Tier 2,8.99,1,3,2,1,0.42,0,0,11.5,1,4.78,372,Mid-size
25,Bachelors,Tier 2,8.19,1,8,4,0,0.25,0,0,24.0,1,7.11,323,Mid-size
30,Masters,Tier 1,7.11,2,3,3,0,1.17,1,0,13.0,1,9.11,444,Mid-size
29,Bachelors,Tier 3,7.33,2,0,2,0,1.4,0,0,4.0,0,4.3,331,Mid-size
21,Bachelors,Tier 1,7.84,1,1,1,0,0.96,0,0,4.0,1,4.09,712,Mid-size
24,Bachelors,Tier 1,6.68,1,4,4,0,0.81,0,0,16.0,1,7.01,233,MNC
25,Masters,Tier 3,6.51,2,0,2,0,1.32,1,0,5.0,1,4.54,323,MNC
26,Bachelors,Tier 3,5.69,1,1,2,2,2.29,0,1,9.0,1,3.89,362,Startup
32,Masters,Tier 2,7.43,4,1,2,2,0.0,0,0,9.0,1,8.72,761,MNC
30,Bachelors,Tier 3,8.16,0,2,2,0,0.05,0,1,8.0,1,5.96,282,Startup
31,Bachelors,Tier 3,9.83,4,3,3,1,0.5,1,0,14.5,1,5.65,411,Startup
34,Bachelors,Tier 1,6.38,3,7,3,0,0.46,0,0,20.0,1,6.99,25,Startup
22,Bachelors,Tier 2,5.99,0,4,5,2,1.01,0,0,21.0,0,4.52,557,MNC
25,Bachelors,Tier 2,8.6,2,2,4,1,1.0,0,0,13.5,1,7.75,409,Startup
22,Masters,Tier 2,6.78,0,6,4,1,3.56,3,0,24.5,0,5.89,332,Startup
23,Bachelors,Tier 3,7.74,3,2,2,1,0.57,0,0,9.5,0,5.31,527,MNC
21,Masters,Tier 1,7.35,2,5,1,1,2.91,1,0,14.5,1,6.69,360,Mid-size
34,Bachelors,Tier 1,8.79,1,3,3,1,0.23,0,0,13.5,1,9.56,433,Startup
29,Masters,Tier 2,7.16,2,3,1,2,0.73,1,0,12.0,1,5.3,562,Startup
31,Bachelors,Tier 1,6.86,1,2,3,1,0.36,0,0,11.5,1,8.09,413,MNC
32,Masters,Tier 2,7.54,3,4,4,0,0.05,0,0,16.0,1,8.46,567,MNC
34,Masters,Tier 2,6.79,1,1,5,1,0.05,1,0,14.5,1,9.04,433,MNC
28,Bachelors,Tier 2,6.94,0,3,2,2,4.17,0,0,13.0,1,7.82,547,MNC
33,Masters,Tier 2,6.29,0,3,2,1,0.68,0,0,11.5,1,8.31,495,Mid-size
26,Bachelors,Tier 1,7.53,3,3,3,1,0.91,1,0,14.5,1,8.22,319,Mid-size
31,Bachelors,Tier 1,7.34,1,3,2,0,0.18,0,1,10.0,0,7.51,412,Startup
21,Masters,Tier 1,7.71,1,5,1,1,0.29,0,0,13.5,1,7.27,390,Startup
24,Bachelors,Tier 1,7.6,0,4,5,0,0.02,1,0,19.0,0,9.18,693,Mid-size
32,Masters,Tier 2,8.26,3,1,2,2,2.27,1,0,10.0,0,6.86,216,Startup
31,Bachelors,Tier 1,6.6,5,1,3,1,1.34,0,1,9.5,0,8.23,344,Mid-size
27,Bachelors,Tier 1,7.31,3,4,5,2,7.79,0,0,21.0,1,8.72,444,Startup
30,Bachelors,Tier 2,8.36,0,2,5,0,0.1,1,0,15.0,1,4.32,503,Startup
26,Bachelors,Tier 3,7.91,6,2,5,1,0.64,0,0,15.5,1,9.7,401,MNC
33,Bachelors,Tier 1,6.66,0,4,4,1,1.39,1,0,18.5,1,8.53,507,Startup
22,Bachelors,Tier 2,6.59,2,3,2,2,0.29,0,0,13.0,1,7.45,453,Startup
23,Bachelors,Tier 1,6.19,1,3,5,0,0.39,0,0,16.0,1,3.92,641,MNC
26,Masters,Tier 2,7.28,2,6,3,0,0.08,0,0,18.0,1,6.53,491,MNC
24,Bachelors,Tier 3,7.94,2,8,4,0,0.89,0,0,24.0,1,3.4,530,MNC
26,Bachelors,Tier 2,6.52,4,2,3,1,0.57,2,0,13.5,0,4.03,568,Startup
25,Bachelors,Tier 2,7.5,2,2,2,0,1.15,0,0,8.0,0,3.02,412,MNC
21,Masters,Tier 3,6.82,1,5,3,1,2.37,1,1,18.5,0,5.79,411,MNC
