age,education_level,university_tier,cgpa,internships,projects,programming_languages,certifications,experience_years,hackathons,research_papers,skills_score,hired,soft_skills_score,resume_length_words,company_type
24,PhD,Tier 3,8.81,1,1,2,0,3.16,0,0,6.0,1,4.41,351,Mid-size
21,Bachelors,Tier 1,8.5,2,2,3,0,2.29,0,0,10.0,0,9.48,245,MNC
32,Masters,Tier 2,8.62,2,7,2,1,0.4,1,0,20.5,0,8.8,537,MNC
26,Masters,Tier 2,7.64,3,4,4,2,0.73,0,0,19.0,0,5.58,580,MNC
26,Bachelors,Tier 2,7.47,0,2,3,0,1.81,1,0,11.0,1,8.49,556,MNC
32,Bachelors,Tier 1,8.83,1,7,3,0,0.33,0,0,20.0,0,7.44,350,Mid-size
34,Bachelors,Tier 3,6.65,1,2,5,1,0.6,0,0,15.5,1,3.42,406,Startup
33,Bachelors,Tier 1,7.48,3,3,5,1,0.73,1,0,18.5,1,5.69,463,Mid-size
32,Bachelors,Tier 2,6.77,5,0,2,0,0.47,1,0,5.0,0,6.8,498,MNC
24,Bachelors,Tier 2,6.71,1,2,1,0,2.66,1,0,7.0,0,6.65,264,Startup
28,Bachelors,Tier 2,7.64,2,5,2,3,0.77,0,0,18.5,1,5.12,429,MNC
24,Masters,Tier 3,7.0,0,1,3,1,2.57,0,0,9.5,0,3.27,531,Startup
31,Bachelors,Tier 1,8.79,1,2,2,1,1.06,0,0,9.5,1,6.5,560,Startup
30,Bachelors,Tier 3,6.63,0,4,1,0,0.11,0,0,10.0,1,5.1,506,Startup
28,Bachelors,Tier 2,6.74,0,0,3,1,0.73,2,0,9.5,0,4.33,366,MNC
31,Bachelors,Tier 3,8.37,0,6,2,2,2.69,0,0,19.0,1,6.09,239,Mid-size
30,Bachelors,Tier 2,6.61,3,1,4,0,1.59,1,1,11.0,1,8.7,336,MNC
25,Masters,Tier 1,6.33,0,1,3,0,2.98,1,0,9.0,0,4.24,474,MNC
33,Bachelors,Tier 1,8.22,0,3,4,2,1.55,0,0,17.0,1,5.68,361,Startup
26,Masters,Tier 2,6.5,1,5,3,2,1.38,0,0,19.0,1,7.19,240,Mid-size
22,Masters,Tier 2,7.16,2,2,1,1,5.22,1,0,8.5,1,7.83,555,MNC
31,Masters,Tier 2,7.08,3,4,5,0,0.08,1,0,19.0,1,5.82,437,MNC
28,Masters,Tier 3,6.98,0,3,4,0,0.1,3,0,17.0,0,7.39,455,MNC
25,Bachelors,Tier 3,7.97,3,4,4,2,1.47,0,1,19.0,1,4.66,346,Mid-size
31,Bachelors,Tier 2,6.94,0,4,5,0,1.75,0,0,18.0,1,8.24,448,MNC
