age,education_level,university_tier,cgpa,internships,projects,programming_languages,certifications,experience_years,hackathons,research_papers,skills_score,hired,soft_skills_score,resume_length_words,company_type
22,Bachelors,Tier 2,7.05,4,4,3,1,2.83,1,0,16.5,0,5.32,501,MNC
34,Bachelors,Tier 2,9.16,0,3,4,1,0.78,0,0,15.5,1,7.04,288,MNC
21,Bachelors,Tier 1,7.44,3,1,4,0,0.26,0,0,10.0,1,8.62,573,Startup
31,Masters,Tier 3,7.71,4,6,5,3,3.2,1,0,27.5,1,4.9,467,Mid-size
22,Masters,Tier 2,6.03,0,5,3,0,1.0,1,0,17.0,0,7.27,432,Mid-size
24,PhD,Tier 2,7.97,3,2,5,1,2.56,0,0,15.5,1,9.74,506,MNC
32,Bachelors,Tier 2,6.01,1,3,3,0,1.44,0,0,12.0,1,3.13,360,Mid-size
25,Bachelors,Tier 2,7.62,0,6,3,0,0.96,1,0,19.0,1,6.22,668,Mid-size
21,Bachelors,Tier 3,8.84,1,0,1,3,1.36,2,1,8.5,1,4.24,481,MNC
30,Bachelors,Tier 2,7.17,0,4,1,1,0.27,1,0,12.5,1,7.29,363,Startup
23,Bachelors,Tier 2,8.0,2,2,4,0,0.78,2,0,14.0,1,7.17,490,MNC
28,PhD,Tier 2,8.26,0,4,4,0,1.25,0,0,16.0,1,7.88,516,Startup
26,Bachelors,Tier 3,6.51,0,2,5,1,1.08,0,0,15.5,1,6.03,363,Startup
21,Bachelors,Tier 1,7.98,1,4,5,2,1.76,0,0,21.0,0,8.01,456,Startup
21,Masters,Tier 2,7.38,1,4,2,0,0.52,0,0,12.0,1,4.21,476,Startup
29,Bachelors,Tier 2,7.96,2,3,1,1,2.73,1,0,10.5,1,3.35,532,Mid-size
21,Masters,Tier 1,8.04,2,2,4,3,0.87,1,0,17.5,1,3.81,483,Startup
32,Masters,Tier 2,8.96,1,7,2,2,4.14,0,0,21.0,0,8.77,386,Mid-size
32,Bachelors,Tier 1,8.13,1,4,2,1,0.25,0,0,13.5,1,3.4,379,Startup
24,Bachelors,Tier 3,8.19,2,6,5,2,1.1,1,0,26.0,1,4.24,419,Startup
32,Bachelors,Tier 1,7.35,1,2,2,2,0.78,1,0,12.0,0,6.87,451,Startup
24,Bachelors,Tier 3,6.74,4,3,5,2,0.92,0,0,19.0,0,8.86,550,MNC
