age,education_level,university_tier,cgpa,internships,projects,programming_languages,certifications,experience_years,hackathons,research_papers,skills_score,hired,soft_skills_score,resume_length_words,company_type
34,Bachelors,Tier 1,7.33,2,2,1,1,3.34,0,0,7.5,1,7.33,465,Startup
21,Bachelors,Tier 2,9.53,0,1,1,2,3.3,0,0,7.0,1,7.93,507,Mid-size
32,Masters,Tier 2,7.7,1,1,2,1,1.78,0,0,7.5,1,9.51,543,Mid-size
31,Bachelors,Tier 2,6.42,3,4,3,2,1.01,0,2,17.0,0,3.29,254,Mid-size
29,Bachelors,Tier 2,8.42,2,1,4,1,1.67,1,0,12.5,1,6.18,519,Startup
22,Bachelors,Tier 3,7.36,1,3,1,3,0.75,0,0,12.5,1,8.16,289,Mid-size
27,Bachelors,Tier 2,7.85,1,5,5,1,5.37,1,1,22.5,1,5.08,682,MNC
28,Bachelors,Tier 3,8.04,3,3,5,0,1.95,0,0,16.0,0,6.49,298,Startup
32,Bachelors,Tier 1,7.47,2,6,3,1,3.74,0,0,19.5,0,7.57,490,MNC
32,Bachelors,Tier 3,4.9,0,4,4,0,0.94,1,0,17.0,1,6.07,385,Startup
22,Masters,Tier 2,7.5,1,2,3,1,1.89,2,0,13.5,1,9.69,662,Mid-size
34,Bachelors,Tier 3,7.46,3,4,4,0,0.17,1,0,17.0,1,3.1,450,MNC
33,Bachelors,Tier 2,6.43,3,0,1,0,1.09,1,0,3.0,1,7.71,483,Startup
31,Masters,Tier 2,7.22,0,6,2,1,0.58,0,0,17.5,0,9.61,256,Startup
23,Bachelors,Tier 2,7.45,1,3,2,0,0.11,1,0,11.0,1,7.34,628,MNC
27,Bachelors,Tier 3,8.25,1,0,3,0,2.92,0,0,6.0,1,5.01,500,Startup
24,Bachelors,Tier 1,6.58,1,3,1,0,0.06,0,0,8.0,1,3.83,594,Startup
25,Masters,Tier 1,7.45,3,3,2,0,1.77,0,0,10.0,1,3.08,430,Mid-size
25,Masters,Tier 1,8.53,0,2,2,1,0.72,0,0,9.5,1,5.07,503,Startup
32,Masters,Tier 2,8.58,3,0,2,0,2.75,0,1,4.0,1,8.1,336,Startup
23,Masters,Tier 3,6.49,3,2,1,2,1.38,0,0,9.0,1,6.12,276,MNC
30,Bachelors,Tier 3,7.99,2,3,2,0,0.8,1,1,11.0,0,8.18,201,Startup
27,Masters,Tier 1,6.77,0,2,5,0,0.16,0,1,14.0,0,7.52,330,Startup
25,Bachelors,Tier 1,8.45,1,6,2,0,0.88,1,0,17.0,1,6.99,323,Startup
24,Bachelors,Tier 2,7.88,2,8,1,1,0.05,0,1,19.5,1,8.78,387,MNC
28,Masters,Tier 2,8.04,1,8,4,1,6.05,0,0,25.5,1,3.31,622,Startup
24,Bachelors,Tier 2,6.62,0,1,5,2,0.37,2,0,17.0,0,3.0,521,Startup
23,Bachelors,Tier 1,8.67,2,3,5,2,0.39,1,1,20.0,1,4.69,292,MNC
24,Bachelors,Tier 1,8.53,3,2,3,3,4.22,1,1,15.5,1,3.43,641,Startup
27,PhD,Tier 1,7.86,0,3,5,1,0.7,1,0,18.5,1,8.27,278,Startup
22,Masters,Tier 3,6.7,1,1,4,1,2.0,0,0,11.5,1,3.99,658,MNC
21,Bachelors,Tier 3,8.34,0,1,1,1,2.35,0,0,5.5,1,5.22,323,Startup
24,Bachelors,Tier 1,9.21,2,1,3,2,0.03,0,0,11.0,1,7.33,350,Mid-size
34,Masters,Tier 3,6.84,0,1,3,1,0.16,0,0,9.5,0,6.18,339,Mid-size
27,Masters,Tier 1,7.43,1,4,1,0,1.69,0,0,10.0,0,7.71,563,MNC
22,Masters,Tier 1,6.4,2,4,5,2,0.24,1,0,22.0,1,6.08,370,MNC
30,Bachelors,Tier 2,6.89,1,3,5,1,0.78,0,1,17.5,0,8.92,663,Startup
25,Bachelors,Tier 1,8.83,4,2,3,0,2.79,1,0,11.0,1,8.92,404,Mid-size
33,Bachelors,Tier 3,7.95,0,4,2,0,0.9,0,1,12.0,1,7.43,392,Startup
21,Masters,Tier 2,7.69,0,3,5,2,0.1,0,1,19.0,0,9.7,529,Startup
22,Bachelors,Tier 2,6.9,1,1,2,0,0.74,0,0,6.0,1,3.64,559,MNC
34,Masters,Tier 1,6.7,1,3,1,2,0.47,0,0,11.0,1,7.86,273,Mid-size
23,Bachelors,Tier 3,7.47,0,3,2,2,0.24,0,2,13.0,1,4.5,650,MNC
31,Bachelors,Tier 2,8.84,0,3,5,2,1.14,0,0,19.0,1,3.08,507,MNC
33,Masters,Tier 1,5.91,0,2,4,3,1.27,0,0,16.5,1,6.11,593,Startup
27,Bachelors,Tier 3,8.46,0,5,4,0,2.36,1,0,19.0,0,6.39,496,Startup
23,PhD,Tier 1,8.56,3,4,2,0,0.33,1,0,13.0,1,7.76,491,Mid-size
28,Bachelors,Tier 2,9.66,0,2,4,2,4.29,0,1,15.0,0,5.38,609,Startup
34,Bachelors,Tier 1,7.25,3,3,1,2,0.85,0,0,11.0,0,7.59,374,Startup
24,Bachelors,Tier 2,8.01,0,2,4,0,0.55,0,1,12.0,1,7.99,495,Mid-size
34,Masters,Tier 3,7.64,1,0,5,2,1.7,0,0,13.0,1,5.5,239,MNC
33,Bachelors,Tier 2,7.39,0,1,3,0,2.54,1,0,9.0,1,7.86,363,MNC
24,Bachelors,Tier 1,9.05,2,0,3,3,0.83,0,0,10.5,1,9.49,388,Startup
31,Masters,Tier 3,5.78,1,1,2,1,1.2,0,0,7.5,1,4.53,334,Mid-size
29,Bachelors,Tier 2,8.06,2,0,3,2,0.05,0,0,9.0,0,4.97,587,Startup
30,Masters,Tier 2,8.48,1,2,3,0,5.91,1,0,11.0,1,7.12,423,Startup
24,Masters,Tier 3,8.62,0,2,4,1,4.17,0,0,13.5,1,3.79,542,Mid-size
33,Masters,Tier 2,7.68,0,5,3,0,3.17,1,0,17.0,1,3.48,373,Mid-size
22,Bachelors,Tier 1,6.78,2,2,4,0,0.54,1,0,13.0,1,8.47,345,Mid-size
26,Bachelors,Tier 2,7.6,2,4,1,1,5.86,0,1,11.5,1,3.7,423,Startup
29,Bachelors,Tier 2,8.04,3,1,4,2,0.52,1,1,14.0,0,7.92,432,Startup
31,Bachelors,Tier 2,5.89,1,1,3,0,0.41,0,0,8.0,0,5.09,543,Mid-size
33,Bachelors,Tier 3,6.23,3,2,4,0,4.07,0,0,12.0,1,7.12,205,Startup
26,Bachelors,Tier 3,7.41,1,2,1,0,1.45,0,1,6.0,0,5.48,422,MNC
23,Bachelors,Tier 1,6.69,0,9,3,1,2.81,0,0,25.5,1,5.28,479,MNC
26,Bachelors,Tier 3,7.13,0,3,5,0,0.56,0,0,16.0,0,9.11,314,Startup
31,Bachelors,Tier 2,8.07,2,4,5,0,0.23,0,0,18.0,1,7.54,612,Mid-size
25,Bachelors,Tier 1,7.79,3,4,3,2,3.16,0,0,17.0,1,5.0,456,Startup
30,Bachelors,Tier 1,8.64,2,4,5,1,1.05,0,0,19.5,1,5.27,448,Startup
34,Bachelors,Tier 2,6.74,3,3,4,1,0.61,0,1,15.5,1,7.24,508,Startup
27,Bachelors,Tier 2,7.15,1,3,5,0,1.76,0,0,16.0,0,9.45,649,MNC
30,Masters,Tier 2,8.23,2,3,3,0,0.08,0,0,12.0,1,8.56,278,Startup
27,Bachelors,Tier 3,6.47,1,2,2,1,0.33,1,0,10.5,1,4.88,205,Mid-size
34,Bachelors,Tier 3,5.74,4,2,3,0,0.63,1,0,11.0,0,3.58,305,Startup
34,Bachelors,Tier 2,7.14,1,4,2,1,0.33,1,0,14.5,0,6.64,268,Startup
27,Bachelors,Tier 2,6.9,1,5,1,3,0.11,0,0,16.5,1,6.15,276,MNC
32,Masters,Tier 3,8.3,2,2,3,2,0.49,2,0,15.0,1,8.15,452,Mid-size
24,Bachelors,Tier 2,8.86,1,3,4,1,2.37,1,1,16.5,1,9.74,535,MNC
25,Masters,Tier 3,7.85,0,5,2,0,1.27,0,0,14.0,1,8.25,461,MNC
30,PhD,Tier 2,6.2,0,3,2,3,1.03,1,1,15.5,1,9.48,499,Startup
32,Bachelors,Tier 1,8.54,1,1,1,5,0.81,0,0,11.5,1,7.71,401,MNC
29,PhD,Tier 2,6.97,3,7,5,0,3.03,0,0,24.0,1,9.63,404,Startup
30,Masters,Tier 1,6.0,1,3,2,1,3.11,0,0,11.5,1,6.75,573,MNC
26,Bachelors,Tier 1,7.94,1,9,5,2,0.92,2,0,33.0,1,6.47,418,Startup
29,Bachelors,Tier 3,7.34,0,1,1,0,4.95,0,0,4.0,1,5.3,438,Startup
23,Bachelors,Tier 2,7.28,1,2,1,2,1.08,0,0,9.0,0,7.22,790,MNC
25,Masters,Tier 3,7.08,2,5,3,2,0.19,0,0,19.0,1,4.49,694,Startup
29,Bachelors,Tier 3,7.76,1,2,4,1,1.47,1,1,14.5,1,4.42,551,MNC
24,Masters,Tier 1,7.82,1,0,4,1,2.29,1,0,10.5,1,3.67,517,Mid-size
21,Bachelors,Tier 3,7.49,1,1,1,0,0.71,0,1,4.0,1,9.27,257,Mid-size
23,Bachelors,Tier 3,7.57,1,1,3,1,0.14,0,0,9.5,1,3.22,660,MNC
30,Bachelors,Tier 1,8.62,2,3,3,0,0.97,0,0,12.0,1,8.35,539,Mid-size
31,Bachelors,Tier 3,8.6,0,1,4,2,1.25,2,0,15.0,0,5.29,243,MNC
29,Masters,Tier 3,8.27,3,1,2,1,2.13,0,0,7.5,0,9.46,320,Startup
33,Bachelors,Tier 2,5.92,0,0,1,2,1.69,1,0,6.0,0,3.52,352,MNC
28,Masters,Tier 1,7.81,2,0,2,0,0.02,1,1,5.0,1,8.7,308,MNC
34,Bachelors,Tier 3,6.91,1,4,2,0,0.18,2,0,14.0,1,9.8,498,Startup
33,Bachelors,Tier 3,6.82,3,4,4,1,0.09,0,0,17.5,1,8.85,424,Startup
32,Bachelors,Tier 1,7.74,0,1,3,0,0.88,0,0,8.0,1,5.36,385,Startup
24,Bachelors,Tier 3,7.41,1,2,4,1,0.05,0,0,13.5,0,9.4,423,Mid-size
34,Bachelors,Tier 3,7.15,0,3,2,0,0.43,0,0,10.0,0,6.39,413,Startup
32,Bachelors,Tier 2,8.96,1,4,4,1,4.44,0,0,17.5,0,6.76,598,MNC
30,Masters,Tier 2,6.67,1,2,1,0,0.35,1,0,7.0,1,7.25,567,Mid-size
22,Bachelors,Tier 3,7.98,3,0,3,1,0.46,0,0,7.5,0,3.88,423,Startup
