age,education_level,university_tier,cgpa,internships,projects,programming_languages,certifications,experience_years,hackathons,research_papers,skills_score,hired,soft_skills_score,resume_length_words,company_type
27,Bachelors,Tier 2,8.43,1,2,3,2,0.92,3,0,16.0,0,4.95,489,MNC
30,Bachelors,Tier 1,7.77,5,2,4,0,2.55,0,0,12.0,0,9.28,478,Mid-size
26,Bachelors,Tier 2,7.25,1,5,5,0,2.22,0,0,20.0,1,5.45,518,Startup
31,Bachelors,Tier 3,7.52,2,4,1,1,4.05,0,0,11.5,1,9.25,309,Startup
31,Bachelors,Tier 3,7.95,1,4,1,0,0.28,0,0,10.0,0,7.13,383,Startup
23,Bachelors,Tier 3,7.03,3,1,4,0,6.32,1,0,11.0,1,5.45,350,MNC
29,Masters,Tier 3,7.59,1,2,4,0,0.14,0,0,12.0,0,8.67,471,Mid-size
27,Bachelors,Tier 2,7.98,2,3,2,0,0.77,0,0,10.0,1,8.64,426,Mid-size
24,PhD,Tier 1,7.58,1,1,1,2,0.23,1,1,8.0,1,8.6,331,Mid-size
21,Bachelors,Tier 3,7.26,2,5,3,1,0.52,0,1,17.5,0,3.57,561,Startup
31,Bachelors,Tier 1,7.84,1,2,5,3,0.3,0,0,18.5,1,9.46,202,Mid-size
21,Masters,Tier 3,8.83,0,3,1,4,2.79,2,0,16.0,0,6.85,397,Startup
33,Masters,Tier 2,8.32,1,1,1,0,1.63,0,0,4.0,0,9.74,403,MNC
33,Masters,Tier 3,6.52,1,2,2,0,2.71,0,0,8.0,0,8.77,433,Startup
23,Bachelors,Tier 3,7.31,4,3,5,1,1.31,0,0,17.5,1,3.01,237,MNC
23,Bachelors,Tier 2,6.55,1,3,1,1,6.11,0,0,9.5,1,4.17,599,Startup
30,Bachelors,Tier 3,6.48,0,4,3,0,1.1,0,0,14.0,0,5.4,450,MNC
31,Bachelors,Tier 2,6.53,3,3,5,1,0.64,0,0,17.5,0,9.75,211,Startup
24,Bachelors,Tier 2,8.05,0,1,4,1,1.04,0,1,11.5,1,9.25,346,MNC
31,Masters,Tier 3,8.88,2,1,2,3,2.71,1,0,11.5,1,4.73,378,MNC
33,Bachelors,Tier 2,7.36,2,4,1,1,2.27,0,1,11.5,1,4.69,511,MNC
33,Bachelors,Tier 1,8.8,3,2,2,0,0.84,0,0,8.0,1,4.14,368,Mid-size
34,Bachelors,Tier 3,7.96,1,0,1,2,2.45,0,0,5.0,1,6.96,345,MNC
32,Masters,Tier 2,7.83,0,0,1,0,1.73,0,0,2.0,0,9.44,378,MNC
21,Masters,Tier 2,7.16,2,3,4,1,4.56,0,1,15.5,0,4.43,574,Startup
31,Bachelors,Tier 3,8.96,3,4,2,1,6.93,0,0,13.5,1,7.09,352,MNC
32,Masters,Tier 1,6.05,0,0,2,0,5.09,0,0,4.0,1,4.06,347,Startup
21,Masters,Tier 2,8.87,1,2,5,1,2.58,0,0,15.5,1,6.21,466,MNC
22,Masters,Tier 3,7.02,1,5,2,1,0.56,0,0,15.5,0,7.88,474,Mid-size
21,Bachelors,Tier 3,6.33,2,2,3,1,2.34,0,0,11.5,1,5.89,389,Mid-size
26,Masters,Tier 2,6.74,0,4,3,1,0.64,1,0,16.5,1,5.71,327,Mid-size
32,Bachelors,Tier 3,7.04,0,4,4,1,2.22,0,0,17.5,1,7.45,271,Startup
