age,education_level,university_tier,cgpa,internships,projects,programming_languages,certifications,experience_years,hackathons,research_papers,skills_score,hired,soft_skills_score,resume_length_words,company_type
29,Masters,Tier 1,8.5,2,6,4,1,0.59,1,0,22.5,1,4.97,557,MNC
21,Masters,Tier 2,7.71,1,4,3,0,2.94,2,0,16.0,1,3.11,442,MNC
24,Bachelors,Tier 1,7.79,2,5,1,1,0.19,0,0,13.5,1,3.5,448,Mid-size
31,Masters,Tier 2,6.43,2,5,3,2,1.42,0,0,19.0,1,7.08,671,MNC
25,Masters,Tier 1,7.89,4,4,1,0,1.26,0,1,10.0,0,5.35,380,MNC
25,Bachelors,Tier 1,6.98,1,3,5,1,0.62,0,0,17.5,1,9.2,410,Startup
34,Masters,Tier 3,7.87,0,1,3,1,0.24,0,0,9.5,0,3.23,444,MNC
22,Masters,Tier 2,7.57,0,3,3,2,1.45,0,1,15.0,1,5.48,564,Startup
26,Bachelors,Tier 2,6.41,1,4,5,2,3.05,0,1,21.0,1,8.59,316,Startup
31,Bachelors,Tier 3,7.56,0,3,5,1,0.01,0,0,17.5,0,3.61,432,Mid-size
26,Bachelors,Tier 1,8.17,0,4,3,1,1.79,0,0,15.5,0,9.35,408,Mid-size
21,Bachelors,Tier 3,7.02,0,4,1,2,0.2,0,0,13.0,0,4.4,507,Startup
21,Masters,Tier 2,7.34,2,4,2,2,0.75,3,0,18.0,1,7.95,655,Mid-size
30,Bachelors,Tier 2,8.35,2,4,4,2,3.81,0,1,19.0,0,4.54,422,Startup
24,Bachelors,Tier 1,7.18,0,4,4,0,2.72,1,0,17.0,1,4.08,312,Startup
24,Bachelors,Tier 3,7.78,6,2,4,2,1.57,0,0,15.0,1,4.14,449,Mid-size
33,Bachelors,Tier 1,7.34,1,2,5,2,4.87,3,0,20.0,0,9.33,446,Mid-size
29,Bachelors,Tier 1,7.48,1,5,3,0,2.18,0,0,16.0,1,7.79,677,MNC
32,Bachelors,Tier 3,8.0,2,3,1,2,0.92,1,0,12.0,1,3.2,584,Startup
28,Bachelors,Tier 2,8.34,1,1,2,0,0.09,1,0,7.0,1,3.98,372,Mid-size
26,Masters,Tier 3,6.4,2,1,1,2,1.28,1,0,8.0,1,4.22,428,MNC
24,Bachelors,Tier 2,6.94,0,4,1,0,1.87,0,0,10.0,1,4.62,193,MNC
29,Bachelors,Tier 2,7.95,3,1,1,0,0.27,0,0,4.0,1,6.53,510,MNC
33,PhD,Tier 2,7.92,3,2,5,1,3.11,1,0,16.5,1,9.48,221,MNC
26,Bachelors,Tier 2,5.66,3,5,5,2,0.89,0,0,23.0,1,9.37,415,Startup
