age,education_level,university_tier,cgpa,internships,projects,programming_languages,certifications,experience_years,hackathons,research_papers,skills_score,hired,soft_skills_score,resume_length_words,company_type
28,Masters,Tier 2,7.86,4,2,5,0,5.97,1,0,15.0,1,9.03,254,Startup
23,Bachelors,Tier 1,7.79,1,2,2,0,0.35,0,0,8.0,1,5.79,244,MNC
21,PhD,Tier 3,8.1,0,4,1,1,1.13,0,0,11.5,1,5.05,403,MNC
32,PhD,Tier 1,7.92,2,2,2,1,0.14,1,0,10.5,1,8.08,348,Mid-size
34,Masters,Tier 1,7.01,3,5,1,1,0.59,0,3,13.5,1,3.14,400,MNC
27,Bachelors,Tier 3,7.52,2,2,2,0,0.52,0,0,8.0,1,6.54,507,MNC
28,Bachelors,Tier 2,9.4,1,3,5,0,4.23,1,0,17.0,1,7.25,395,Startup
30,Bachelors,Tier 2,6.86,4,0,1,0,3.03,1,1,3.0,1,4.14,388,Mid-size
30,Masters,Tier 1,7.02,3,2,3,1,0.25,2,0,13.5,1,8.62,513,Startup
33,Masters,Tier 3,7.49,0,1,2,2,0.47,0,0,9.0,1,6.68,509,Startup
25,PhD,Tier 2,7.27,1,4,4,2,2.8,0,1,19.0,1,8.73,303,MNC
30,PhD,Tier 1,7.55,1,4,1,0,0.56,0,0,10.0,1,7.2,528,MNC
31,Bachelors,Tier 3,7.61,2,1,1,1,2.43,0,0,5.5,1,8.55,596,Mid-size
31,PhD,Tier 1,6.65,3,3,1,0,0.0,1,0,9.0,1,9.89,555,Startup
24,Bachelors,Tier 1,7.31,2,2,1,1,2.62,1,0,8.5,0,3.78,659,Mid-size
21,Bachelors,Tier 1,6.44,0,4,4,1,0.14,2,1,19.5,0,3.32,773,Startup
22,Bachelors,Tier 2,7.98,2,5,2,2,1.99,0,1,17.0,1,9.04,542,Startup
27,Bachelors,Tier 3,7.87,1,2,4,0,6.16,0,0,12.0,1,8.36,486,Startup
21,Bachelors,Tier 3,7.13,3,3,2,1,2.13,0,0,11.5,0,9.5,562,MNC
28,Bachelors,Tier 2,8.44,1,3,1,1,1.1,1,0,10.5,0,4.17,211,Mid-size
27,PhD,Tier 2,8.07,3,5,3,1,0.16,0,0,17.5,1,7.67,488,Mid-size
27,Bachelors,Tier 3,8.08,0,4,5,0,0.69,1,1,19.0,1,5.96,421,MNC
25,Bachelors,Tier 3,7.46,1,2,3,1,0.88,0,1,11.5,1,9.78,343,Startup
