age,education_level,university_tier,cgpa,internships,projects,programming_languages,certifications,experience_years,hackathons,research_papers,skills_score,hired,soft_skills_score,resume_length_words,company_type
27,Bachelors,Tier 3,7.37,2,2,3,0,0.59,0,0,10.0,1,5.71,500,MNC
29,Masters,Tier 3,7.08,1,4,4,1,0.13,0,1,17.5,1,6.52,461,Mid-size
26,Bachelors,Tier 3,7.27,0,0,5,1,0.83,0,0,11.5,1,8.28,606,Startup
34,Masters,Tier 1,6.88,1,2,4,0,0.71,0,0,12.0,0,8.33,330,Startup
25,Bachelors,Tier 2,7.66,0,3,2,3,0.66,0,0,14.5,1,7.29,354,Mid-size
25,Bachelors,Tier 3,9.23,1,3,5,1,0.8,0,0,17.5,1,3.1,338,MNC
34,Bachelors,Tier 1,7.12,0,5,3,1,0.4,1,0,18.5,0,7.49,476,MNC
33,PhD,Tier 3,8.62,1,2,1,1,1.3,0,0,7.5,1,3.61,330,MNC
31,Masters,Tier 3,6.1,1,0,2,2,0.16,0,0,7.0,1,6.17,511,Startup
25,Bachelors,Tier 3,7.69,0,3,4,2,0.5,0,0,17.0,0,5.98,342,MNC
31,Masters,Tier 2,7.05,2,3,2,0,1.95,2,0,12.0,1,8.91,277,MNC
25,Bachelors,Tier 3,7.0,1,3,2,0,5.03,1,0,11.0,1,8.46,466,MNC
29,Bachelors,Tier 2,8.39,2,4,1,1,2.75,0,0,11.5,1,3.45,276,MNC
21,Bachelors,Tier 1,7.14,1,3,1,1,4.92,0,1,9.5,1,6.73,370,MNC
31,Bachelors,Tier 2,7.57,2,9,1,1,0.29,1,0,22.5,1,9.96,398,Mid-size
21,Bachelors,Tier 3,6.7,0,4,2,2,1.89,0,0,15.0,0,6.41,513,Mid-size
23,Bachelors,Tier 2,7.74,1,4,1,0,2.52,1,0,11.0,0,3.4,640,Mid-size
21,Bachelors,Tier 1,8.57,2,2,4,1,0.86,0,0,13.5,1,4.0,568,MNC
27,Bachelors,Tier 3,8.6,0,0,2,0,2.39,0,0,4.0,1,8.14,297,Mid-size
29,Bachelors,Tier 2,6.85,5,2,5,2,0.07,2,0,19.0,1,8.88,454,MNC
29,Bachelors,Tier 3,8.44,1,1,3,3,1.72,0,0,12.5,1,7.19,357,Mid-size
29,Masters,Tier 3,6.13,1,2,3,1,0.08,0,0,11.5,0,9.69,433,MNC
22,Masters,Tier 2,7.36,1,1,5,4,0.71,0,0,18.0,1,9.18,591,MNC
26,Bachelors,Tier 2,6.28,2,2,2,0,1.53,1,0,9.0,0,3.54,487,MNC
26,Masters,Tier 1,8.25,0,1,4,1,0.19,0,0,11.5,1,3.4,604,Startup
23,Masters,Tier 2,7.83,2,6,1,0,0.87,1,0,15.0,0,3.83,398,MNC
25,Bachelors,Tier 2,7.08,0,1,4,1,1.41,0,1,11.5,0,4.28,541,MNC
33,Bachelors,Tier 3,7.28,2,4,1,1,0.5,1,1,12.5,1,8.34,457,Mid-size
30,Bachelors,Tier 1,7.2,4,2,4,1,0.58,0,0,13.5,1,9.53,271,MNC
31,Bachelors,Tier 3,9.35,3,2,5,0,0.25,0,0,14.0,0,4.98,619,MNC
21,Bachelors,Tier 2,7.78,2,4,1,1,5.39,3,0,14.5,1,9.24,509,Startup
29,Masters,Tier 3,6.56,1,0,3,1,1.15,0,0,7.5,0,10.0,335,Startup
